Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető",lat,lon
Szombathely,542,Vas,"47,12,15-16,40,25",2014,görög jegenyefenyő,"Szél Győző, Daniló Eszter; Bogáti kastélyparkban, teteje levágva; 544/2017, magasság: 23.5 m/2017",47.204167,16.673611
Fehérvárcsurgó,430,Fejér,"47,17,09-18,15,55",2007,jegenyefenyő,439/2010; 2021-ben kettétört (Tóth Sándor),47.285833,18.265278
Füzérradvány,408,Borsod-Abaúj-Zemplén,"48,28,52-21,31,59",2012,jegenyefenyő,433/2019; magasság: 36 m/2019; 456/2025,48.481111,21.533056
Szeleste,390,Vas,"47,18,26-16,49,43",2015,jegenyefenyő,"Szél Győző, Daniló Eszter; 398/2019",47.307222,16.828611
Szeleste,374,Vas,"47,18,24-16,49,39",2015,jegenyefenyő,"Szél Győző, Daniló Eszter",47.306667,16.8275
Bagamér,360,Hajdú-Bihar,"47,26,58-21,59,19",2016,numídiai jegenyefenyő,"Torma Zoltán, Torma Zoltánné",47.449444,21.988611
Sellye,349,Baranya,"45,52,13-17,50,46",2020,közönséges jegenyefenyő,"Torma Zoltánné, Torma Zoltán; 2025: letörve",45.870278,17.846111
Nádasdladány,325,Fejér,"47,08,05-18,14,38",2025,görög jegenyefenyő,,47.134722,18.243889
Bagamér,323,Hajdú-Bihar,"47,26,58-21,59,20",2016,numídiai jegenyefenyő,"Torma Zoltán, Torma Zoltánné",47.449444,21.988889
Miskolc,319,Borsod-Abaúj-Zemplén,"48,05,34-20,37,11",2020,kaukázusi jegenyefenyő,"Hartai Éva, Torma Zoltán; magasság: 39,5 m/2020",48.092778,20.619722
Szeleste,317,Vas,"47,18,24-16,49,44",2015,jegenyefenyő,"Szél Győző, Daniló Eszter",47.306667,16.828889
Vácrátót,305,Pest,"47,42,30-19,14,07",2014,numídiai jegenyefenyő,,47.708333,19.235278
Nagyhuta,300,Borsod-Abaúj-Zemplén,"48,26,53-21,27,55",2019,jegenyefenyő,"Suhaj István, Szemán Márk, Torma Zoltánné, Torma Zoltán; magasság: 41 m/2019",48.448056,21.465278
Olaszfalu,300,Veszprém,"47,13,32-17,59,06",2018,andalúziai jegenyefenyő,"Alsóperén; magasság: 22,5 m/2018",47.225556,17.985
Ikervár,642,Vas,"47,12,25-16,53,50",2003,hegyi juhar,"háromfelé ágazik, legnagyobb ága letörve 2007. febr.-ban",47.206944,16.897222
Lókút,517,Veszprém,"47,12,27-17,50,53",2021,hegyi juhar,Tóth Sándor; magasság: 27 m/2021,47.2075,17.848056
Alsóhídvégpuszta,515,Tolna,"46,30,49-18,39,23",2009,korai juhar,Elblinger Ferenc,46.513611,18.656389
Baja,512,Bács-Kiskun,"46,10,44-18,56,57",2021,ezüst juhar,Gergely János; magasság: 20 m/2021; 130 cm-en kétfelé ágazik,46.178889,18.949167
Mihályfa,489,Zala,"46,58,45-17,11,07",2011,hegyi juhar,Zombori Zoltán; 492/2012; 510/2021; magasság: 19 m/2021,46.979167,17.185278
Mindszent,489,Csongrád,"46,31,32-20,10,47",2013,ezüst juhar,516/2017; magasság: 24 m/2017; 536/2025,46.525556,20.179722
Gödreszentmárton**,476,Baranya,"46,16,09-17,59,18",2019,mezei juhar,"Torma Zoltánné, Torma Zoltán",46.269167,17.988333
Hencse,468,Somogy,"46,12,18-17,37,28",2006,korai juhar,"474/2020, sérült törzs",46.205,17.624444
Vasboldogasszony,459,Vas,"46,56,42-16,52,03",2021,ezüst juhar,Nagy Dániel; magasság: 27 m/2021,46.945,16.8675
Tengelic,457,Tolna,"46,33,36-18,43,37",2015,zöld juhar,Elblinger Ferenc; 2021: kidőlve (Elblinger Ferenc),46.56,18.726944
Szentlélek (Miskolc),455,Borsod-Abaúj-Zemplén,"48,07,00-20,30,16",2009,hegyi juhar,Négyfelé ágazik 150 cm-en.,48.116667,20.504444
Vasboldogasszony,455,Vas,"46,56,41-16,51,59",2021,ezüst juhar,Nagy Dániel; magasság: 24 m/2021,46.944722,16.866389
Gemenc,453,Bács-Kiskun,"46,13,49-18,52,29",2018,zöld juhar,"Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten",46.230278,18.874722
Celldömölk,452,Vas,"47,15,32-17,08,48",2019,ezüst juhar,Teket Attila; magasság: 26 m/2019,47.258889,17.146667
Somogytarnóca,447,Somogy,"46,00,31-17,27,19",2015,mezei juhar,Szél Győző; 450/2020; magasság: 27 m/2020,46.008611,17.455278
Budapest,447,Pest,"47,28,48-19,06,55",2014,ezüstjuhar,Szél Győző,47.48,19.115278
Bokod,440,Komárom-Esztergom,"47,27,46-18,15,49",2014,mezei juhar,"Szél Győző, Daniló Eszter; 456/2020",47.462778,18.263611
Pócsmegyer,440,Pest,"47,43,06-19,05,42",2011,ezüst juhar,Baranyai László,47.718333,19.095
Szentgál,438,Veszprém,"47,12,17-17,43,01",2015,mezei juhar,Jandala Attila,47.204722,17.716944
Vác,436,Pest,"47,50,28-19,10,26",2017,mezei juhar,"Lesti Szabolcs, Medveházi Zsuzsanna; magasság: 13,5 m/2017; max. koronaátmérő 20 m",47.841111,19.173889
Pilisszentkereszt,433,Pest,"47,42,16-18,52,36",2023,hegyi juhar,"Torma Zoltánné, Torma Zoltán, Szőcs Gergely; magasság: 28 m/2023",47.704444,18.876667
Gávavencsellő,432,Szabolcs-Szatmár-Bereg,"48,10,20-21,33,37",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes; magasság: 26 m/2017",48.172222,21.560278
Lókút,430,Veszprém,"47,12,25-17,50,39",2013,hegyi juhar,BDT,47.206944,17.844167
Hács,429,Somogy,"46,39,09-17,43,15",2016,mezei juhar,Sólyom Attila; koronája nagy része elszáradt,46.6525,17.720833
Szentgál,428,Veszprém,"47,08,33-17,41,40",2022,mezei juhar,Teket Attila,47.1425,17.694444
Miskolc,427,Borsod-Abaúj-Zemplén,"48,05,44-20,31,25",2022,hegyi juhar,"Torma Ágnes, Torma Zoltánné, Torma Zoltán; magasság: 39 m/2022",48.095556,20.523611
Szeged,426,Csongrád,"46,14,49-20,12,16",2021,ezüst juhar,,46.246944,20.204444
